valid_time,source,ghi,fetched_at
2026-08-15 09:00:00,analysis,274.0,2026-09-14T15:08:27
2026-08-15 09:00:00,era5,226.0,2026-09-14T14:28:17
2026-08-15 10:00:00,analysis,508.0,2026-09-14T15:08:27
2026-08-15 10:00:00,era5,403.0,2026-09-14T14:28:17
2026-08-15 11:00:00,analysis,713.0,2026-09-14T15:08:27
2026-08-15 11:00:00,era5,594.0,2026-09-14T14:28:17
2026-08-15 12:00:00,analysis,864.0,2026-09-14T15:08:27
2026-08-15 12:00:00,era5,760.0,2026-09-14T14:28:17
2026-08-15 13:00:00,analysis,950.0,2026-09-14T15:08:27
2026-08-15 13:00:00,era5,835.0,2026-09-14T14:28:17
2026-08-15 14:00:00,analysis,962.0,2026-09-14T15:08:27
2026-08-15 14:00:00,era5,887.0,2026-09-14T14:28:17
2026-08-15 15:00:00,analysis,899.0,2026-09-14T15:08:27
2026-08-15 15:00:00,era5,816.0,2026-09-14T14:28:17
2026-08-15 16:00:00,analysis,767.0,2026-09-14T15:08:27
2026-08-15 16:00:00,era5,705.0,2026-09-14T14:28:17
2026-08-15 17:00:00,analysis,578.0,2026-09-14T15:08:27
2026-08-15 17:00:00,era5,518.0,2026-09-14T14:28:17
2026-08-16 09:00:00,analysis,198.0,2026-09-14T15:08:27
2026-08-16 09:00:00,era5,188.0,2026-09-14T14:28:17
2026-08-16 10:00:00,analysis,454.0,2026-09-14T15:08:27
2026-08-16 10:00:00,era5,314.0,2026-09-14T14:28:17
2026-08-16 11:00:00,analysis,592.0,2026-09-14T15:08:27
2026-08-16 11:00:00,era5,586.0,2026-09-14T14:28:17
2026-08-16 12:00:00,analysis,756.0,2026-09-14T15:08:27
2026-08-16 12:00:00,era5,670.0,2026-09-14T14:28:17
2026-08-16 13:00:00,analysis,855.0,2026-09-14T15:08:27
2026-08-16 13:00:00,era5,626.0,2026-09-14T14:28:17
2026-08-16 14:00:00,analysis,878.0,2026-09-14T15:08:27
2026-08-16 14:00:00,era5,789.0,2026-09-14T14:28:17
2026-08-16 15:00:00,analysis,817.0,2026-09-14T15:08:27
2026-08-16 15:00:00,era5,821.0,2026-09-14T14:28:17
2026-08-16 16:00:00,analysis,697.0,2026-09-14T15:08:27
2026-08-16 16:00:00,era5,664.0,2026-09-14T14:28:17
2026-08-16 17:00:00,analysis,571.0,2026-09-14T15:08:27
2026-08-16 17:00:00,era5,415.0,2026-09-14T14:28:17
2026-08-17 09:00:00,analysis,262.0,2026-09-14T15:08:27
2026-08-17 09:00:00,era5,213.0,2026-09-14T14:28:17
2026-08-17 10:00:00,analysis,471.0,2026-09-14T15:08:27
2026-08-17 10:00:00,era5,411.0,2026-09-14T14:28:17
2026-08-17 11:00:00,analysis,711.0,2026-09-14T15:08:27
2026-08-17 11:00:00,era5,641.0,2026-09-14T14:28:17
2026-08-17 12:00:00,analysis,869.0,2026-09-14T15:08:27
2026-08-17 12:00:00,era5,801.0,2026-09-14T14:28:17
2026-08-17 13:00:00,analysis,891.0,2026-09-14T15:08:27
2026-08-17 13:00:00,era5,728.0,2026-09-14T14:28:17
2026-08-17 14:00:00,analysis,894.0,2026-09-14T15:08:27
2026-08-17 14:00:00,era5,822.0,2026-09-14T14:28:17
2026-08-17 15:00:00,analysis,798.0,2026-09-14T15:08:27
2026-08-17 15:00:00,era5,778.0,2026-09-14T14:28:17
2026-08-17 16:00:00,analysis,728.0,2026-09-14T15:08:27
2026-08-17 16:00:00,era5,598.0,2026-09-14T14:28:17
2026-08-17 17:00:00,analysis,569.0,2026-09-14T15:08:27
2026-08-17 17:00:00,era5,438.0,2026-09-14T14:28:17
2026-08-18 09:00:00,analysis,269.0,2026-09-14T15:08:27
2026-08-18 09:00:00,era5,216.0,2026-09-14T14:28:17
2026-08-18 10:00:00,analysis,482.0,2026-09-14T15:08:27
2026-08-18 10:00:00,era5,378.0,2026-09-14T14:28:17
2026-08-18 11:00:00,analysis,718.0,2026-09-14T15:08:27
2026-08-18 11:00:00,era5,581.0,2026-09-14T14:28:17
2026-08-18 12:00:00,analysis,869.0,2026-09-14T15:08:27
2026-08-18 12:00:00,era5,663.0,2026-09-14T14:28:17
2026-08-18 13:00:00,analysis,954.0,2026-09-14T15:08:27
2026-08-18 13:00:00,era5,728.0,2026-09-14T14:28:17
2026-08-18 14:00:00,analysis,966.0,2026-09-14T15:08:27
2026-08-18 14:00:00,era5,815.0,2026-09-14T14:28:17
2026-08-18 15:00:00,analysis,902.0,2026-09-14T15:08:27
2026-08-18 15:00:00,era5,754.0,2026-09-14T14:28:17
2026-08-18 16:00:00,analysis,768.0,2026-09-14T15:08:27
2026-08-18 16:00:00,era5,671.0,2026-09-14T14:28:17
2026-08-18 17:00:00,analysis,576.0,2026-09-14T15:08:27
2026-08-18 17:00:00,era5,504.0,2026-09-14T14:28:17
2026-08-19 09:00:00,analysis,252.0,2026-09-14T15:08:27
2026-08-19 09:00:00,era5,201.0,2026-09-14T14:28:17
2026-08-19 10:00:00,analysis,393.0,2026-09-14T15:08:27
2026-08-19 10:00:00,era5,435.0,2026-09-14T14:28:17
2026-08-19 11:00:00,analysis,634.0,2026-09-14T15:08:27
2026-08-19 11:00:00,era5,624.0,2026-09-14T14:28:17
2026-08-19 12:00:00,analysis,854.0,2026-09-14T15:08:27
2026-08-19 12:00:00,era5,754.0,2026-09-14T14:28:17
2026-08-19 13:00:00,analysis,887.0,2026-09-14T15:08:27
2026-08-19 13:00:00,era5,863.0,2026-09-14T14:28:17
2026-08-19 14:00:00,analysis,796.0,2026-09-14T15:08:27
2026-08-19 14:00:00,era5,883.0,2026-09-14T14:28:17
2026-08-19 15:00:00,analysis,620.0,2026-09-14T15:08:27
2026-08-19 15:00:00,era5,792.0,2026-09-14T14:28:17
2026-08-19 16:00:00,analysis,757.0,2026-09-14T15:08:27
2026-08-19 16:00:00,era5,673.0,2026-09-14T14:28:17
2026-08-19 17:00:00,analysis,520.0,2026-09-14T15:08:27
2026-08-19 17:00:00,era5,468.0,2026-09-14T14:28:17
2026-08-20 09:00:00,analysis,176.0,2026-09-14T15:08:27
2026-08-20 09:00:00,era5,188.0,2026-09-14T14:28:17
2026-08-20 10:00:00,analysis,391.0,2026-09-14T15:08:27
2026-08-20 10:00:00,era5,358.0,2026-09-14T14:28:17
2026-08-20 11:00:00,analysis,538.0,2026-09-14T15:08:27
2026-08-20 11:00:00,era5,519.0,2026-09-14T14:28:17
2026-08-20 12:00:00,analysis,728.0,2026-09-14T15:08:27
2026-08-20 12:00:00,era5,723.0,2026-09-14T14:28:17
2026-08-20 13:00:00,analysis,859.0,2026-09-14T15:08:27
2026-08-20 13:00:00,era5,847.0,2026-09-14T14:28:17
2026-08-20 14:00:00,analysis,854.0,2026-09-14T15:08:27
2026-08-20 14:00:00,era5,850.0,2026-09-14T14:28:17
2026-08-20 15:00:00,analysis,850.0,2026-09-14T15:08:27
2026-08-20 15:00:00,era5,777.0,2026-09-14T14:28:17
2026-08-20 16:00:00,analysis,717.0,2026-09-14T15:08:27
2026-08-20 16:00:00,era5,588.0,2026-09-14T14:28:17
2026-08-21 09:00:00,analysis,284.0,2026-09-14T15:08:27
2026-08-21 09:00:00,era5,207.0,2026-09-14T14:28:17
2026-08-21 10:00:00,analysis,522.0,2026-09-14T15:08:27
2026-08-21 10:00:00,era5,415.0,2026-09-14T14:28:17
2026-08-21 11:00:00,analysis,731.0,2026-09-14T15:08:27
2026-08-21 11:00:00,era5,642.0,2026-09-14T14:28:17
2026-08-21 12:00:00,analysis,884.0,2026-09-14T15:08:27
2026-08-21 12:00:00,era5,791.0,2026-09-14T14:28:17
2026-08-21 13:00:00,analysis,973.0,2026-09-14T15:08:27
2026-08-21 13:00:00,era5,870.0,2026-09-14T14:28:17
2026-08-21 14:00:00,analysis,984.0,2026-09-14T15:08:27
2026-08-21 14:00:00,era5,858.0,2026-09-14T14:28:17
2026-08-21 15:00:00,analysis,919.0,2026-09-14T15:08:27
2026-08-21 15:00:00,era5,770.0,2026-09-14T14:28:17
2026-08-21 16:00:00,analysis,782.0,2026-09-14T15:08:27
2026-08-21 16:00:00,era5,671.0,2026-09-14T14:28:17
2026-08-21 17:00:00,analysis,589.0,2026-09-14T15:08:27
2026-08-21 17:00:00,era5,514.0,2026-09-14T14:28:17
2026-08-22 09:00:00,analysis,288.0,2026-09-14T15:08:27
2026-08-22 09:00:00,era5,209.0,2026-09-14T14:28:17
2026-08-22 10:00:00,analysis,531.0,2026-09-14T15:08:27
2026-08-22 10:00:00,era5,455.0,2026-09-14T14:28:17
2026-08-22 11:00:00,analysis,741.0,2026-09-14T15:08:27
2026-08-22 11:00:00,era5,665.0,2026-09-14T14:28:17
2026-08-22 12:00:00,analysis,895.0,2026-09-14T15:08:27
2026-08-22 12:00:00,era5,834.0,2026-09-14T14:28:17
2026-08-22 13:00:00,analysis,980.0,2026-09-14T15:08:27
2026-08-22 13:00:00,era5,932.0,2026-09-14T14:28:17
2026-08-22 14:00:00,analysis,988.0,2026-09-14T15:08:27
2026-08-22 14:00:00,era5,949.0,2026-09-14T14:28:17
2026-08-22 15:00:00,analysis,925.0,2026-09-14T15:08:27
2026-08-22 15:00:00,era5,881.0,2026-09-14T14:28:17
2026-08-22 16:00:00,analysis,792.0,2026-09-14T15:08:27
2026-08-22 16:00:00,era5,740.0,2026-09-14T14:28:17
